id_klienta	imie	nazwisko	miasto
1	Kacper	Urban	Warszawa
2	Paulina	Charatonik	Czarnkow
3	Franek	Urban	Krakow
4	Kacper	Bednarczyk	Warszawa
5	Paulina	Charatonik	Krakow
6	Dawid	Krystek	Wrzeszczyna
7	Bartek	Kowalski	Wrzeszczyna
8	Filip	Nowak	Czarnkow
9	Kuba	Krystek	Wrzeszczyna
10	Filip	Urban	Gulcz
11	Franek	Urban	Poznan
12	Dawid	Urban	Poznan
13	Kuba	Krystek	Krakow
14	Krzysztof	Epstein	Krakow
15	Kuba	Krystek	Bukowiec
16	Dawid	Krystek	Gulcz
17	Paulina	Charatonik	Wrzeszczyna
18	Kacper	Charatonik	Krakow
19	Patryk	Epstein	Gulcz
20	Kuba	Urban	Bukowiec
21	Krzysztof	Nowak	Krakow
22	Bartek	Charatonik	Czarnkow
23	Bartosz	Epstein	Warszawa
24	Franek	Epstein	Wrzeszczyna
25	Bartek	Charatonik	Gulcz
26	Dawid	Bednarczyk	Gulcz
27	Bartek	Krystek	Warszawa
28	Patryk	Epstein	Czarnkow
29	Franek	Epstein	Poznan
30	Kuba	Krystek	Warszawa
